Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2018,"12        ",Female,17,Right-Handed,167.6,26,171,1,Car,15,.468,74,Other,731,603,650,731,860,860,25.5,"Right foot",70,70,"Same length",August,Fall,No,No,"No favorite",Water,History,6,10,4,"Yes - other","Text messaging",50,50,12,11,12,2,0,0,11,11,11,10,25,6,Some,Other,Country,"Freeze time",Happy,Relative,Health
USA,TX,2013,"5         ",Female,11,Right-Handed,152,22,149,2,Bus,7,0.437,38,Other,1000,1000,1000,1000,154,15422,22,"Same length",10,7,"Ring finger",October,Summer,No,No,Fruit,"Powdered drink",Art,8,10,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",4,5,1,1,1,2,2,20,1,1,2,4,0,2,Some,"High school","Rap/Hip hop",Telepathy,Rich,Relative,"Wildlife, animals"
USA,TX,2016,"12        ",Male,17,Right-Handed,160,21.6,164.5,2,Bus,7,.403,51,Basketball,829,834,850,845,96,53,22.9,"Left foot",76.2,88.9,"Ring finger",September,Spring,No,No,Pizza/Pasta,Water,"Mathematics and statistics",5,10,4,"Yes - broadband connection","Internet chat or instant messaging",3,4,2,1,52,27,2.5,0,5,1,12,3,0,30,Some,"Graduate degree",Gospel,Fly,Healthy,Relative,Health
USA,TX,2023,"8         ",Male,13,Right-Handed,173,26.5,184,2,Bus,29-35,0.391,50,Other,500,300,1000,800,600,400,26.5,"Left foot",75,70,"Index finger",January,Winter,No,No,Poultry,Water,"Mathematics and statistics",6,8,4,"Yes - other","In person",0,0,0,0,4,0,0,0,0,0,8,0,0,4,Some,"Graduate degree",Other,Telepathy,Healthy,"Religious figure",Religious
USA,TX,2017,"12        ",Female,16,Right-Handed,164,23,167,1,Car,3,.68,36,Dancing,470,200,698,820,430,830,24,"Left foot",68,67,"Index finger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2021,"12        ",Female,17,Right-Handed,154,23,145,1,Car,6,0.686,43,Other,700,500,400,800,800,800,23,"Same length",,,"Index finger",April,Fall,No,No,Meat,Coffee,History,6,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",16,17,8,8,0,7,0,0,30,2,4,3,20,5,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Famous,Teacher,Health
USA,TX,2021,"12        ",Female,17,Right-Handed,178,24,168,1,Car,10,0.689,"50 ",Running/Jogging,700,650,500,500,900,950,23,"Right foot",76,81,"Ring finger",December,Fall,No,No,Pizza/Pasta,Water,History,7,10,5,"Yes - broadband connection","Text messaging",37,68,8,1,12,15,1,0,20,2,5,21,18,5,Some,"Some college",Pop,Telepathy,Happy,Relative,Religious
USA,TX,2019,"10        ",Female,14,Right-Handed,152,23,150,4,Bus,10,.708,56,Dancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2018,"12        ",Female,17,Right-Handed,161,24,109,1,Car,7,0.213,50,Cycling,1000,733,299,348,1000,1000,24,"Same length",70,63,"Index finger",January,Fall,Yes,No,"Rice/Noodle dishes",Tea,Art,6,14,6,"Yes - broadband connection","Internet chat or instant messaging",30,30,8,1,4,0,16,36,4,2,50,0,0,0,Some,"Graduate degree",Classical,Fly,Rich,"Sports person",Health
USA,TX,2016,"5         ",Female,11,Right-Handed,162,26,162,3,Car,30,0.536,53,Soccer,200,200,400,500,700,1000,23,"Right foot",110,120,"Index finger",October,Summer,Yes,No,Poultry,Water,History,8,10,4,"Yes - broadband connection","In person",40,35,12,1,3,5,7,0,1,1,2,1,0,1,"Very little","Graduate degree",Country,"Freeze time",Happy,"Coach or club leader","International aid"
