Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,PA,2022,12,Female,17.0,Left-Handed,154,22,160,1.0,Car,10,.435,47,Soccer,700.0,400.0,400.0,800.0,800.0,850.0,22,Same length,70,62,Index finger,December,Summer,No,No,Pizza/Pasta,Tea,Science,6,8,4.0,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",4,7,15,3.0,7.0,2,24,0,15.0,4.0,100.0,4.0,8,10.0,A lot,Graduate degree,Pop,Freeze time,Happy,Relative,"Wildlife, animals"
USA,PA,2012,4,Female,11.0,Right-Handed,118,210,149,2.0,Car,1,36,50,Athletics,950.0,1000.0,800.0,500.0,100.0,600.0,22,Left foot,7,7.5,Ring finger,November,Summer,Yes,No,Soups,Water,Physical education,7,8.5,5.0,Yes - broadband connection,Text messaging,100,50,21,35.0,0.0,14,21,35,35.0,21.0,14.0,49.0,35,7.0,None,Graduate degree,Rap/Hip hop,Fly,Famous,Actor,Education/Youth development
USA,PA,2018,12,Female,16.0,Left-Handed,165,21,130,1.0,Bus,15,0.472,45,Other,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,23,Left foot,80,80,Same length,July,Fall,No,No,Pizza/Pasta,Water,Science,6,8,6.0,Yes - broadband connection,Text messaging,50,50,20,5.0,20.0,10,25,2,15.0,5.0,10.0,5.0,5,10.0,A lot,Graduate degree,Jazz,Fly,Happy,Relative,"Arts, culture, sports"
USA,PA,2019,12,Female,17.0,,15.5,21,153.5,1.0,Car,6,.724,41,Soccer,1000.0,753.0,638.0,942.0,460.0,1000.0,21,Same length,60,65,Ring finger,May,Spring,Yes,No,Seafood,Water,Science,6.75,8,4.0,Yes - broadband connection,In person,90,80,.5,0.5,3.0,5,10.5,.5,20.0,5.0,53.0,8.0,8,2.0,Some,,Other,Telepathy,Happy,Teacher,Environment
USA,PA,2019,9,Male,15.0,Right-Handed,188,30,180,2.0,Car,15,0.282,55,Rowing,1000.0,750.0,500.0,600.0,500.0,500.0,29,Right foot,115,75,Index finger,August,Summer,Yes,No,No favorite,Water,Physical education,8,10,3.0,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",2,4,20,1.0,16.0,10,17,17,14.0,1.0,48.0,10.0,0,3.0,Some,Undergraduate degree,Rap/Hip hop,Super strength,Happy,Relative,Environment
USA,PA,2020,6,Female,12.0,Right-Handed,172,24,166,1.0,Bus,15,0.641,60,Swimming,1000.0,1000.0,1000.0,1000.0,0.0,144.0,24,Same length,90,99,Ring finger,December,Summer,Yes,No,Pizza/Pasta,Water,Computers and technology,9,10,6.0,Yes - other,Text messaging,9,23,1,0.0,2.0,4,1,1,1.0,1.0,3.0,0.0,0,0.0,Some,Less than high school,Pop,Telepathy,Healthy,Actor,"Wildlife, animals"
USA,PA,2014,4,Female,8.0,,,,,1.0,Car,,,,Swimming,,,,,,,,Same length,,,Index finger,April,Summer,No,,,Water,,,,,,,,,,,,,,,,,,,,,,,Pop,Invisibility,Happy,Musician or singer,
USA,PA,2012,12,Male,18.0,Right-Handed,183,28,203,2.0,Car,10,0.32,44,Basketball,829.0,599.0,631.0,786.0,920.0,950.0,28.5,Left foot,97,97,Same length,November,Fall,No,No,Pizza/Pasta,Sports drink,Computers and technology,7,9,4.0,Yes - broadband connection,Text messaging,6,10,5,2.0,5.0,10,15,0,20.0,10.0,20.0,15.0,0,2.0,Some,Graduate degree,Rap/Hip hop,Invisibility,Happy,Business person,"Arts, culture, sports"
USA,PA,2017,11,Male,16.0,Ambidextrous,184.5,30.48,175,1.0,Bus,25,.33,50,Cycling,350.0,600.0,250.0,245.0,300.0,700.0,25.15,Right foot,80,85,Index finger,April,Spring,,,,,,,,,,,0,49,10,2.0,16.0,20,15,14,10.0,24.0,72.0,8.0,0,3.0,Some,Graduate degree,Rock and roll,Freeze time,Healthy,Other,Health
USA,PA,2012,12,Female,17.0,Right-Handed,164.4,23,162.5,1.0,Car,20,.42,46,Dancing,701.0,636.0,1000.0,722.0,210.0,224.0,23.5,Left foot,82,92,Ring finger,November,Fall,Yes,No,Seafood,Water,Art,7,10,3.0,Yes - broadband connection,Text messaging,35,47,4,9.0,8.0,9,3,0,5.0,4.0,9.0,3.0,0,3.5,A lot,Graduate degree,Pop,Telepathy,Happy,Doctor or nurse,Education/Youth development
